ligand,receptor,pathway
ANGPTL4,ITGA5&ITGB1,ANGPTL
ANGPTL4,ITGAV&ITGB3,ANGPTL
ANGPTL4,CDH5,ANGPTL
ANGPTL4,CDH11,ANGPTL
ANGPTL4,SDC1,ANGPTL
ANGPTL4,SDC2,ANGPTL
ANGPTL4,SDC3,ANGPTL
ANGPTL4,SDC4,ANGPTL
ANGPTL3,ITGAV&ITGB3,ANGPTL
ANGPT1,TEK,ANGPT
ANGPT2,TEK,ANGPT
ANGPT2,ITGA5&ITGB1,ANGPT
MDK,SDC1,MK
MDK,SDC2,MK
MDK,SDC4,MK
MDK,PTPRZ1,MK
MDK,ITGA4&ITGB1,MK
MDK,ITGA6&ITGB1,MK
MDK,LRP1,MK
MDK,NCL,MK
MDK,ALK,MK
PTN,PTPRZ1,PTN
PTN,SDC1,PTN
PTN,SDC2,PTN
PTN,SDC3,PTN
PTN,SDC4,PTN
PTN,ITGAV&ITGB3,PTN
PTN,NCL,PTN
PTN,ALK,PTN
POSTN,ITGAV&ITGB3,PERIOSTIN
POSTN,ITGAV&ITGB5,PERIOSTIN
AGT,AGTR1,AGT
GRP,GRPR,GPR
NMB,NMBR,GPR
KNG1,BDKRB1,BRADYKININ
KNG1,BDKRB2,BRADYKININ
C3,C3AR1,COMPLEMENT
C3,CR2,COMPLEMENT
C3,ITGAM&ITGB2,COMPLEMENT
C3,ITGAX&ITGB2,COMPLEMENT
C4A,C3AR1,COMPLEMENT
C4A,CR2,COMPLEMENT
C5,C5AR1,COMPLEMENT
CCK,CCKAR,CCK
CCK,CCKBR,CCK
EDN1,EDNRA,EDN
EDN2,EDNRA,EDN
EDN3,EDNRA,EDN
EDN1,EDNRB,EDN
EDN2,EDNRB,EDN
EDN3,EDNRB,EDN
GAL,GALR1,GALANIN
GAL,GALR2,GALANIN
GAL,GALR3,GALANIN
GALP,GALR1,GALANIN
GALP,GALR2,GALANIN
GHRL,GHSR,GHRELIN
KISS1,KISS1R,KISS1
POMC,MC1R,MELANOCORTIN
POMC,MC2R,MELANOCORTIN
POMC,MC3R,MELANOCORTIN
POMC,MC4R,MELANOCORTIN
POMC,MC5R,MELANOCORTIN
NMU,NMUR1,NMU
NMU,NMUR2,NMU
NMS,NMUR1,NMU
NMS,NMUR2,NMU
NPFF,NPFFR1,NPFF
NPFF,NPFFR2,NPFF
NPY,NPY1R,NPY
NPY,NPY2R,NPY
NPY,NPY4R,NPY
NPY,NPY5R,NPY
NPY,NPY6R,NPY
NPY,GPR83,NPY
PPY,NPY1R,NPY
PPY,NPY2R,NPY
PPY,NPY4R,NPY
PPY,NPY5R,NPY
PPY,NPY6R,NPY
PPY,GPR83,NPY
PYY,NPY1R,NPY
PYY,NPY2R,NPY
PYY,NPY4R,NPY
PYY,NPY5R,NPY
PYY,NPY6R,NPY
PYY,GPR83,NPY
NPB,NPBWR1,NPW-B
NPW,NPBWR1,NPW-B
NTS,NTSR1,NTS
NTS,NTSR2,NTS
PDYN,OPRD1,OPIOID
PDYN,OPRK1,OPIOID
PDYN,OPRL1,OPIOID
PDYN,OPRM1,OPIOID
PENK,OPRD1,OPIOID
PENK,OPRK1,OPIOID
PENK,OPRL1,OPIOID
PENK,OPRM1,OPIOID
POMC,OPRD1,OPIOID
POMC,OPRK1,OPIOID
POMC,OPRL1,OPIOID
POMC,OPRM1,OPIOID
HCRT,HCRTR1,HCRT
HCRT,HCRTR2,HCRT
OXT,OXTR,OXT
SST,SSTR1,SEMATOSTATIN
SST,SSTR2,SEMATOSTATIN
SST,SSTR3,SEMATOSTATIN
SST,SSTR4,SEMATOSTATIN
SST,SSTR5,SEMATOSTATIN
CORT,SSTR1,SEMATOSTATIN
CORT,SSTR2,SEMATOSTATIN
CORT,SSTR3,SEMATOSTATIN
CORT,SSTR4,SEMATOSTATIN
CORT,SSTR5,SEMATOSTATIN
TAC1,TACR1,TAC
TAC4,TACR1,TAC
TAC1,TACR2,TAC
TAC3,TACR3,TAC
UTS2,UTS2R,UTS2
AVP,AVPR2,AVP
AVP,AVPR1A,AVP
AVP,AVPR1B,AVP
PRLH,PRLHR,PRLH
PRSS3,F2R,PARs
CTSG,F2R,PARs
F2,F2R,PARs
PLG,F2R,PARs
GZMA,F2R,PARs
PRSS2,F2R,PARs
PRSS1,F2R,PARs
PRSS3,F2RL1,PARs
CTSG,F2RL1,PARs
F2,F2RL1,PARs
PLG,F2RL1,PARs
GZMA,F2RL1,PARs
PRSS2,F2RL1,PARs
PRSS1,F2RL1,PARs
PRSS3,F2RL2,PARs
CTSG,F2RL2,PARs
F2,F2RL2,PARs
PLG,F2RL2,PARs
GZMA,F2RL2,PARs
PRSS2,F2RL2,PARs
PRSS1,F2RL2,PARs
PRSS3,F2RL3,PARs
CTSG,F2RL3,PARs
F2,F2RL3,PARs
GZMA,F2RL3,PARs
PLG,F2RL3,PARs
PRSS2,F2RL3,PARs
PRSS1,F2RL3,PARs
PRSS3,PARD3,PARs
CTSG,PARD3,PARs
F2,PARD3,PARs
GZMA,PARD3,PARs
PLG,PARD3,PARs
PRSS2,PARD3,PARs
PRSS1,PARD3,PARs
PMCH,MCHR1,PMCH
PROK1,PROKR2,PROK
PROK1,PROKR1,PROK
PROK2,PROKR1,PROK
PROK2,PROKR2,PROK
ADCYAP1,ADCYAP1R1,PACAP
VIP,VIPR1,VIP
VIP,VIPR2,VIP
NPPA,NPR1,NPR1
NPPB,NPR1,NPR1
NPPC,NPR2,NPR2
KITLG,KIT,KIT
GCG,GIPR,GIPR
GIP,GIPR,GIPR
FSHB,FSHR,FSH
CGA,FSHR,FSH
LHB,LHCGR,LHB
CGA,LHCGR,LHB
TSHB,TSHR,TSH
CGA,TSHR,TSH
BDNF,NTRK2,NT
NGF,NTRK1,NT
FLT3LG,FLT3,FLT3
HGF,MET,HGF
KLK3,NTRK1,NT
NTF3,NTRK1,NT
NTF3,NTRK2,NT
NTF3,NTRK3,NT
NTF4,NTRK2,NT
SEMA3A,NRP1&PLXNA1,SEMA3
SEMA3A,NRP1&PLXNA2,SEMA3
SEMA3A,NRP1&PLXNA3,SEMA3
SEMA3A,NRP1&PLXNA4,SEMA3
SEMA3B,NRP1&PLXNA1,SEMA3
SEMA3B,NRP1&PLXNA2,SEMA3
SEMA3B,NRP1&PLXNA3,SEMA3
SEMA3B,NRP1&PLXNA4,SEMA3
SEMA3C,NRP1&PLXNA1,SEMA3
SEMA3C,NRP1&PLXNA2,SEMA3
SEMA3C,NRP1&PLXNA3,SEMA3
SEMA3C,NRP1&PLXNA4,SEMA3
SEMA3D,NRP1&PLXNA1,SEMA3
SEMA3D,NRP1&PLXNA2,SEMA3
SEMA3D,NRP1&PLXNA3,SEMA3
SEMA3D,NRP1&PLXNA4,SEMA3
SEMA3B,NRP2&PLXNA1,SEMA3
SEMA3B,NRP2&PLXNA2,SEMA3
SEMA3B,NRP2&PLXNA3,SEMA3
SEMA3B,NRP2&PLXNA4,SEMA3
SEMA3C,NRP2&PLXNA1,SEMA3
SEMA3C,NRP2&PLXNA2,SEMA3
SEMA3C,NRP2&PLXNA3,SEMA3
SEMA3C,NRP2&PLXNA4,SEMA3
SEMA3D,NRP2&PLXNA1,SEMA3
SEMA3D,NRP2&PLXNA2,SEMA3
SEMA3D,NRP2&PLXNA3,SEMA3
SEMA3D,NRP2&PLXNA4,SEMA3
SEMA3F,NRP2&PLXNA1,SEMA3
SEMA3F,NRP2&PLXNA2,SEMA3
SEMA3F,NRP2&PLXNA3,SEMA3
SEMA3F,NRP2&PLXNA4,SEMA3
SEMA3G,NRP2&PLXNA1,SEMA3
SEMA3G,NRP2&PLXNA2,SEMA3
SEMA3G,NRP2&PLXNA3,SEMA3
SEMA3G,NRP2&PLXNA4,SEMA3
SEMA3C,NRP1&NRP2&PLXND1,SEMA3
SEMA3C,PLXND1,SEMA3
SEMA3E,PLXND1,SEMA3
ADM,CALCR,CALCR
ADM,CALCRL,CALCR
AGT,MAS1,AGT
ANXA1,FPR2,ANNEXIN
ANXA1,FPR1,ANNEXIN
APELA,APLNR,APJ
CALCA,CALCR,CALCR
CALCA,CALCRL,CALCR
CALCB,CALCR,CALCR
CALCB,CALCRL,CALCR
CRH,CRHR1,CRH
CRH,CRHR2,CRH
ENHO,GPR19,ENHO
GAS6,AXL,GAS
GAS6,MERTK,GAS
GAS6,TYRO3,GAS
GCG,GCGR,GCG
GCG,GLP1R,GCG
GCG,GLP2R,GCG
GH1,GHR,GH
GH1,PRLR,GH
GHRH,VIPR1,GHRH
GHRH,VIPR2,GHRH
GHRH,GHSR,GHRH
GHRH,GHRHR,GHRH
GNRH1,GNRHR,GNRH
GRN,SORT1,GRN
GUCA2A,GUCY2C,GUCA
GUCA2B,GUCY2C,GUCA
IAPP,CALCR,CALCR
IAPP,CALCRL,CALCR
INSL3,RXFP2,RLN
INSL3,RXFP1,RLN
INSL3,RXFP4,RLN
INSL3,RXFP3,RLN
INSL5,RXFP4,RLN
INSL5,RXFP3,RLN
INSL5,RXFP2,RLN
INSL5,RXFP1,RLN
LEP,LEPR,LEP
LGALS9,PTPRC,GALECTIN
NPS,NPSR1,NPS
NPVF,NPFFR1,NPVF
NPVF,NPFFR2,NPVF
OSTN,NPR3,OSTN
PMCH,MERTK,PMCH
PROS1,AXL,PROS
PROS1,TYRO3,PROS
PSAP,GPR37L1,PSAP
PSAP,GPR37,PSAP
PTH,PTH1R,PTH
PTH,PTH2R,PTH
PTH2,PTH1R,PTH
PTH2,PTH2R,PTH
PTHLH,PTH1R,PTH
QRFP,QRFPR,QRFP
RARRES2,GPR1,CHEMERIN
RARRES2,CMKLR1,CHEMERIN
RLN1,RXFP2,RLN
RLN1,RXFP1,RLN
RLN1,RXFP3,RLN
RLN1,RXFP4,RLN
RLN3,RXFP3,RLN
RLN3,RXFP1,RLN
RLN3,RXFP4,RLN
RLN3,RXFP2,RLN
SAA1,FPR2,SAA
SCGB3A2,MARCO,UGRP1
SCT,SCTR,SCT
SLURP1,CHRNB1,SLURP
SLURP1,CHRNB2,SLURP
SLURP1,CHRNB3,SLURP
SLURP1,CHRNB4,SLURP
SLURP1,CHRNA1,SLURP
SLURP1,CHRNA2,SLURP
SLURP1,CHRNA3,SLURP
SLURP1,CHRNA4,SLURP
SLURP1,CHRNA5,SLURP
SLURP1,CHRNA6,SLURP
SLURP1,CHRNA9,SLURP
SLURP1,CHRNA10,SLURP
SLURP1,CHRND,SLURP
SLURP1,CHRNE,SLURP
SLURP1,CHRNG,SLURP
SLURP1,CHRNA7,SLURP
SLURP2,CHRNB1,SLURP
SLURP2,CHRNB2,SLURP
SLURP2,CHRNB3,SLURP
SLURP2,CHRNB4,SLURP
SLURP2,CHRNA1,SLURP
SLURP2,CHRNA2,SLURP
SLURP2,CHRNA3,SLURP
SLURP2,CHRNA4,SLURP
SLURP2,CHRNA5,SLURP
SLURP2,CHRNA6,SLURP
SLURP2,CHRNA7,SLURP
SLURP2,CHRNA9,SLURP
SLURP2,CHRNA10,SLURP
SLURP2,CHRND,SLURP
SLURP2,CHRNE,SLURP
SLURP2,CHRNG,SLURP
BTLA,TNFRSF14,BTLA
TRH,TRHR,TRH
UCN,CRHR1,UCN
UCN,CRHR2,UCN
UCN2,CRHR1,UCN
UCN2,CRHR2,UCN
UCN3,CRHR1,UCN
UCN3,CRHR2,UCN
UTS2B,UTS2R,UROTENSIN
UTS2B,SSTR5,UROTENSIN
BAG6,NCR3,BAG
LGALS9,HAVCR2,GALECTIN
LGALS9,CD44,GALECTIN
COL1A1,ITGA1&ITGB1,COLLAGEN
COL1A2,ITGA1&ITGB1,COLLAGEN
COL2A1,ITGA1&ITGB1,COLLAGEN
COL4A1,ITGA1&ITGB1,COLLAGEN
COL4A2,ITGA1&ITGB1,COLLAGEN
COL4A3,ITGA1&ITGB1,COLLAGEN
COL4A4,ITGA1&ITGB1,COLLAGEN
COL4A5,ITGA1&ITGB1,COLLAGEN
COL4A6,ITGA1&ITGB1,COLLAGEN
COL6A1,ITGA1&ITGB1,COLLAGEN
COL6A2,ITGA1&ITGB1,COLLAGEN
COL6A3,ITGA1&ITGB1,COLLAGEN
COL6A4,ITGA1&ITGB1,COLLAGEN
COL6A5,ITGA1&ITGB1,COLLAGEN
COL6A6,ITGA1&ITGB1,COLLAGEN
COL9A1,ITGA1&ITGB1,COLLAGEN
COL9A2,ITGA1&ITGB1,COLLAGEN
COL9A3,ITGA1&ITGB1,COLLAGEN
COL1A1,ITGA2&ITGB1,COLLAGEN
COL1A2,ITGA2&ITGB1,COLLAGEN
COL2A1,ITGA2&ITGB1,COLLAGEN
COL4A1,ITGA2&ITGB1,COLLAGEN
COL4A2,ITGA2&ITGB1,COLLAGEN
COL4A3,ITGA2&ITGB1,COLLAGEN
COL4A4,ITGA2&ITGB1,COLLAGEN
COL4A5,ITGA2&ITGB1,COLLAGEN
COL4A6,ITGA2&ITGB1,COLLAGEN
COL6A1,ITGA2&ITGB1,COLLAGEN
COL6A2,ITGA2&ITGB1,COLLAGEN
COL6A3,ITGA2&ITGB1,COLLAGEN
COL6A4,ITGA2&ITGB1,COLLAGEN
COL6A5,ITGA2&ITGB1,COLLAGEN
COL6A6,ITGA2&ITGB1,COLLAGEN
COL9A1,ITGA2&ITGB1,COLLAGEN
COL9A2,ITGA2&ITGB1,COLLAGEN
COL9A3,ITGA2&ITGB1,COLLAGEN
FN1,ITGA3&ITGB1,FN1
FN1,ITGA4&ITGB1,FN1
FN1,ITGA5&ITGB1,FN1
FN1,ITGA8&ITGB1,FN1
LAMA1,ITGA1&ITGB1,LAMININ
LAMA2,ITGA1&ITGB1,LAMININ
LAMA3,ITGA1&ITGB1,LAMININ
LAMA4,ITGA1&ITGB1,LAMININ
LAMA5,ITGA1&ITGB1,LAMININ
LAMB1,ITGA1&ITGB1,LAMININ
LAMB2,ITGA1&ITGB1,LAMININ
LAMB3,ITGA1&ITGB1,LAMININ
LAMC1,ITGA1&ITGB1,LAMININ
LAMC2,ITGA1&ITGB1,LAMININ
LAMC3,ITGA1&ITGB1,LAMININ
LAMA1,ITGA2&ITGB1,LAMININ
LAMA2,ITGA2&ITGB1,LAMININ
LAMA3,ITGA2&ITGB1,LAMININ
LAMA4,ITGA2&ITGB1,LAMININ
LAMA5,ITGA2&ITGB1,LAMININ
LAMB1,ITGA2&ITGB1,LAMININ
LAMB2,ITGA2&ITGB1,LAMININ
LAMB3,ITGA2&ITGB1,LAMININ
LAMC1,ITGA2&ITGB1,LAMININ
LAMC2,ITGA2&ITGB1,LAMININ
LAMC3,ITGA2&ITGB1,LAMININ
CHAD,ITGA2&ITGB1,CHAD
LAMA1,ITGA3&ITGB1,LAMININ
LAMA2,ITGA3&ITGB1,LAMININ
LAMA3,ITGA3&ITGB1,LAMININ
LAMA4,ITGA3&ITGB1,LAMININ
LAMA5,ITGA3&ITGB1,LAMININ
LAMB1,ITGA3&ITGB1,LAMININ
LAMB2,ITGA3&ITGB1,LAMININ
LAMB3,ITGA3&ITGB1,LAMININ
LAMC1,ITGA3&ITGB1,LAMININ
LAMC2,ITGA3&ITGB1,LAMININ
LAMC3,ITGA3&ITGB1,LAMININ
RELN,ITGA3&ITGB1,RELN
THBS1,ITGA3&ITGB1,THBS
THBS2,ITGA3&ITGB1,THBS
THBS3,ITGA3&ITGB1,THBS
THBS4,ITGA3&ITGB1,THBS
COMP,ITGA3&ITGB1,THBS
COL1A1,ITGA3&ITGB1,COLLAGEN
COL1A2,ITGA3&ITGB1,COLLAGEN
COL2A1,ITGA3&ITGB1,COLLAGEN
COL4A1,ITGA3&ITGB1,COLLAGEN
COL4A2,ITGA3&ITGB1,COLLAGEN
COL4A3,ITGA3&ITGB1,COLLAGEN
COL4A4,ITGA3&ITGB1,COLLAGEN
COL4A5,ITGA3&ITGB1,COLLAGEN
COL4A6,ITGA3&ITGB1,COLLAGEN
COL6A1,ITGA3&ITGB1,COLLAGEN
COL6A2,ITGA3&ITGB1,COLLAGEN
COL6A3,ITGA3&ITGB1,COLLAGEN
COL6A4,ITGA3&ITGB1,COLLAGEN
COL6A5,ITGA3&ITGB1,COLLAGEN
COL6A6,ITGA3&ITGB1,COLLAGEN
COL9A1,ITGA3&ITGB1,COLLAGEN
COL9A2,ITGA3&ITGB1,COLLAGEN
COL9A3,ITGA3&ITGB1,COLLAGEN
LAMA1,ITGA6&ITGB1,LAMININ
LAMA2,ITGA6&ITGB1,LAMININ
LAMA3,ITGA6&ITGB1,LAMININ
LAMA4,ITGA6&ITGB1,LAMININ
LAMA5,ITGA6&ITGB1,LAMININ
LAMB1,ITGA6&ITGB1,LAMININ
LAMB2,ITGA6&ITGB1,LAMININ
LAMB3,ITGA6&ITGB1,LAMININ
LAMC1,ITGA6&ITGB1,LAMININ
LAMC2,ITGA6&ITGB1,LAMININ
LAMC3,ITGA6&ITGB1,LAMININ
LAMA1,ITGA7&ITGB1,LAMININ
LAMA2,ITGA7&ITGB1,LAMININ
LAMA3,ITGA7&ITGB1,LAMININ
LAMA4,ITGA7&ITGB1,LAMININ
LAMA5,ITGA7&ITGB1,LAMININ
LAMB1,ITGA7&ITGB1,LAMININ
LAMB2,ITGA7&ITGB1,LAMININ
LAMB3,ITGA7&ITGB1,LAMININ
LAMC1,ITGA7&ITGB1,LAMININ
LAMC2,ITGA7&ITGB1,LAMININ
LAMC3,ITGA7&ITGB1,LAMININ
VTN,ITGA8&ITGB1,VTN
TNC,ITGA8&ITGB1,TENASCIN
TNR,ITGA8&ITGB1,TENASCIN
TNN,ITGA8&ITGB1,TENASCIN
TNXB,ITGA8&ITGB1,TENASCIN
NPNT&FRAS1&FREM1,ITGA8&ITGB1,NPNT
NPNT&FRAS1&FREM2,ITGA8&ITGB1,NPNT
TNC,ITGA9&ITGB1,TENASCIN
TNR,ITGA9&ITGB1,TENASCIN
TNN,ITGA9&ITGB1,TENASCIN
TNXB,ITGA9&ITGB1,TENASCIN
COL1A1,ITGA9&ITGB1,COLLAGEN
COL1A2,ITGA9&ITGB1,COLLAGEN
COL2A1,ITGA9&ITGB1,COLLAGEN
COL4A1,ITGA9&ITGB1,COLLAGEN
COL4A2,ITGA9&ITGB1,COLLAGEN
COL4A3,ITGA9&ITGB1,COLLAGEN
COL4A4,ITGA9&ITGB1,COLLAGEN
COL4A5,ITGA9&ITGB1,COLLAGEN
COL4A6,ITGA9&ITGB1,COLLAGEN
COL6A1,ITGA9&ITGB1,COLLAGEN
COL6A2,ITGA9&ITGB1,COLLAGEN
COL6A3,ITGA9&ITGB1,COLLAGEN
COL6A4,ITGA9&ITGB1,COLLAGEN
COL6A5,ITGA9&ITGB1,COLLAGEN
COL6A6,ITGA9&ITGB1,COLLAGEN
COL9A1,ITGA9&ITGB1,COLLAGEN
COL9A2,ITGA9&ITGB1,COLLAGEN
COL9A3,ITGA9&ITGB1,COLLAGEN
LAMA1,ITGA9&ITGB1,LAMININ
LAMA2,ITGA9&ITGB1,LAMININ
LAMA3,ITGA9&ITGB1,LAMININ
LAMA4,ITGA9&ITGB1,LAMININ
LAMA5,ITGA9&ITGB1,LAMININ
LAMB1,ITGA9&ITGB1,LAMININ
LAMB2,ITGA9&ITGB1,LAMININ
LAMB3,ITGA9&ITGB1,LAMININ
LAMC1,ITGA9&ITGB1,LAMININ
LAMC2,ITGA9&ITGB1,LAMININ
LAMC3,ITGA9&ITGB1,LAMININ
COL1A1,ITGA10&ITGB1,COLLAGEN
COL1A2,ITGA10&ITGB1,COLLAGEN
COL2A1,ITGA10&ITGB1,COLLAGEN
COL4A1,ITGA10&ITGB1,COLLAGEN
COL4A2,ITGA10&ITGB1,COLLAGEN
COL4A3,ITGA10&ITGB1,COLLAGEN
COL4A4,ITGA10&ITGB1,COLLAGEN
COL4A5,ITGA10&ITGB1,COLLAGEN
COL4A6,ITGA10&ITGB1,COLLAGEN
COL6A1,ITGA10&ITGB1,COLLAGEN
COL6A2,ITGA10&ITGB1,COLLAGEN
COL6A3,ITGA10&ITGB1,COLLAGEN
COL6A4,ITGA10&ITGB1,COLLAGEN
COL6A5,ITGA10&ITGB1,COLLAGEN
COL6A6,ITGA10&ITGB1,COLLAGEN
COL9A1,ITGA10&ITGB1,COLLAGEN
COL9A2,ITGA10&ITGB1,COLLAGEN
COL9A3,ITGA10&ITGB1,COLLAGEN
COL1A1,ITGA11&ITGB1,COLLAGEN
COL1A2,ITGA11&ITGB1,COLLAGEN
COL2A1,ITGA11&ITGB1,COLLAGEN
COL4A1,ITGA11&ITGB1,COLLAGEN
COL4A2,ITGA11&ITGB1,COLLAGEN
COL4A3,ITGA11&ITGB1,COLLAGEN
COL4A4,ITGA11&ITGB1,COLLAGEN
COL4A5,ITGA11&ITGB1,COLLAGEN
COL4A6,ITGA11&ITGB1,COLLAGEN
COL6A1,ITGA11&ITGB1,COLLAGEN
COL6A2,ITGA11&ITGB1,COLLAGEN
COL6A3,ITGA11&ITGB1,COLLAGEN
COL6A4,ITGA11&ITGB1,COLLAGEN
COL6A5,ITGA11&ITGB1,COLLAGEN
COL6A6,ITGA11&ITGB1,COLLAGEN
COL9A1,ITGA11&ITGB1,COLLAGEN
COL9A2,ITGA11&ITGB1,COLLAGEN
COL9A3,ITGA11&ITGB1,COLLAGEN
FN1,ITGAV&ITGB1,FN1
VTN,ITGAV&ITGB1,VTN
DSPP,ITGAV&ITGB1,DSPP
FN1,ITGA4&ITGB7,FN1
FN1,ITGAV&ITGB3,FN1
VTN,ITGAV&ITGB3,VTN
VWF,ITGAV&ITGB3,VWF
TNC,ITGAV&ITGB3,TENASCIN
TNR,ITGAV&ITGB3,TENASCIN
TNN,ITGAV&ITGB3,TENASCIN
TNXB,ITGAV&ITGB3,TENASCIN
IBSP,ITGAV&ITGB3,BSP
THBS1,ITGAV&ITGB3,THBS
THBS2,ITGAV&ITGB3,THBS
THBS3,ITGAV&ITGB3,THBS
THBS4,ITGAV&ITGB3,THBS
COMP,ITGAV&ITGB3,THBS
DMP1,ITGAV&ITGB3,DMP1
FN1,ITGA2B&ITGB3,FN1
VTN,ITGA2B&ITGB3,VTN
VWF,ITGA2B&ITGB3,VWF
TNC,ITGA2B&ITGB3,TENASCIN
TNR,ITGA2B&ITGB3,TENASCIN
TNN,ITGA2B&ITGB3,TENASCIN
TNXB,ITGA2B&ITGB3,TENASCIN
VTN,ITGAV&ITGB5,VTN
IBSP,ITGAV&ITGB5,BSP
TNC,ITGAV&ITGB6,TENASCIN
TNR,ITGAV&ITGB6,TENASCIN
TNN,ITGAV&ITGB6,TENASCIN
TNXB,ITGAV&ITGB6,TENASCIN
FN1,ITGAV&ITGB6,FN1
DSPP,ITGAV&ITGB6,DSPP
VTN,ITGAV&ITGB8,VTN
FN1,ITGAV&ITGB8,FN1
LAMA1,ITGAV&ITGB8,LAMININ
LAMA2,ITGAV&ITGB8,LAMININ
LAMA3,ITGAV&ITGB8,LAMININ
LAMA4,ITGAV&ITGB8,LAMININ
LAMA5,ITGAV&ITGB8,LAMININ
LAMB1,ITGAV&ITGB8,LAMININ
LAMB2,ITGAV&ITGB8,LAMININ
LAMB3,ITGAV&ITGB8,LAMININ
LAMC1,ITGAV&ITGB8,LAMININ
LAMC2,ITGAV&ITGB8,LAMININ
LAMC3,ITGAV&ITGB8,LAMININ
COL1A1,ITGAV&ITGB8,COLLAGEN
COL1A2,ITGAV&ITGB8,COLLAGEN
COL2A1,ITGAV&ITGB8,COLLAGEN
COL4A1,ITGAV&ITGB8,COLLAGEN
COL4A2,ITGAV&ITGB8,COLLAGEN
COL4A3,ITGAV&ITGB8,COLLAGEN
COL4A4,ITGAV&ITGB8,COLLAGEN
COL4A5,ITGAV&ITGB8,COLLAGEN
COL4A6,ITGAV&ITGB8,COLLAGEN
COL6A1,ITGAV&ITGB8,COLLAGEN
COL6A2,ITGAV&ITGB8,COLLAGEN
COL6A3,ITGAV&ITGB8,COLLAGEN
COL6A4,ITGAV&ITGB8,COLLAGEN
COL6A5,ITGAV&ITGB8,COLLAGEN
COL6A6,ITGAV&ITGB8,COLLAGEN
COL9A1,ITGAV&ITGB8,COLLAGEN
COL9A2,ITGAV&ITGB8,COLLAGEN
COL9A3,ITGAV&ITGB8,COLLAGEN
LAMA1,ITGA6&ITGB4,LAMININ
LAMA2,ITGA6&ITGB4,LAMININ
LAMA3,ITGA6&ITGB4,LAMININ
LAMA4,ITGA6&ITGB4,LAMININ
LAMA5,ITGA6&ITGB4,LAMININ
LAMB1,ITGA6&ITGB4,LAMININ
LAMB2,ITGA6&ITGB4,LAMININ
LAMB3,ITGA6&ITGB4,LAMININ
LAMC1,ITGA6&ITGB4,LAMININ
LAMC2,ITGA6&ITGB4,LAMININ
LAMC3,ITGA6&ITGB4,LAMININ
FN1,CD44,FN1
COL1A1,CD44,COLLAGEN
COL1A2,CD44,COLLAGEN
COL2A1,CD44,COLLAGEN
COL4A1,CD44,COLLAGEN
COL4A2,CD44,COLLAGEN
COL4A3,CD44,COLLAGEN
COL4A4,CD44,COLLAGEN
COL4A5,CD44,COLLAGEN
COL4A6,CD44,COLLAGEN
COL6A1,CD44,COLLAGEN
COL6A2,CD44,COLLAGEN
COL6A3,CD44,COLLAGEN
COL6A4,CD44,COLLAGEN
COL6A5,CD44,COLLAGEN
COL6A6,CD44,COLLAGEN
COL9A1,CD44,COLLAGEN
COL9A2,CD44,COLLAGEN
COL9A3,CD44,COLLAGEN
LAMA1,CD44,LAMININ
LAMA2,CD44,LAMININ
LAMA3,CD44,LAMININ
LAMA4,CD44,LAMININ
LAMA5,CD44,LAMININ
LAMB1,CD44,LAMININ
LAMB2,CD44,LAMININ
LAMB3,CD44,LAMININ
LAMC1,CD44,LAMININ
LAMC2,CD44,LAMININ
LAMC3,CD44,LAMININ
COL1A1,SDC1,COLLAGEN
COL1A2,SDC1,COLLAGEN
COL2A1,SDC1,COLLAGEN
COL4A1,SDC1,COLLAGEN
COL4A2,SDC1,COLLAGEN
COL4A3,SDC1,COLLAGEN
COL4A4,SDC1,COLLAGEN
COL4A5,SDC1,COLLAGEN
COL4A6,SDC1,COLLAGEN
COL6A1,SDC1,COLLAGEN
COL6A2,SDC1,COLLAGEN
COL6A3,SDC1,COLLAGEN
COL6A4,SDC1,COLLAGEN
COL6A5,SDC1,COLLAGEN
COL6A6,SDC1,COLLAGEN
COL9A1,SDC1,COLLAGEN
COL9A2,SDC1,COLLAGEN
COL9A3,SDC1,COLLAGEN
FN1,SDC1,FN1
TNC,SDC1,TENASCIN
TNR,SDC1,TENASCIN
TNN,SDC1,TENASCIN
TNXB,SDC1,TENASCIN
THBS1,SDC1,THBS
THBS2,SDC1,THBS
THBS3,SDC1,THBS
THBS4,SDC1,THBS
COMP,SDC1,THBS
COL1A1,SDC4,COLLAGEN
COL1A2,SDC4,COLLAGEN
COL2A1,SDC4,COLLAGEN
COL4A1,SDC4,COLLAGEN
COL4A2,SDC4,COLLAGEN
COL4A3,SDC4,COLLAGEN
COL4A4,SDC4,COLLAGEN
COL4A5,SDC4,COLLAGEN
COL4A6,SDC4,COLLAGEN
COL6A1,SDC4,COLLAGEN
COL6A2,SDC4,COLLAGEN
COL6A3,SDC4,COLLAGEN
COL6A4,SDC4,COLLAGEN
COL6A5,SDC4,COLLAGEN
COL6A6,SDC4,COLLAGEN
COL9A1,SDC4,COLLAGEN
COL9A2,SDC4,COLLAGEN
COL9A3,SDC4,COLLAGEN
FN1,SDC4,FN1
TNC,SDC4,TENASCIN
TNR,SDC4,TENASCIN
TNN,SDC4,TENASCIN
TNXB,SDC4,TENASCIN
THBS1,SDC4,THBS
THBS2,SDC4,THBS
THBS3,SDC4,THBS
THBS4,SDC4,THBS
COMP,SDC4,THBS
LAMA1,SV2A,LAMININ
LAMA2,SV2A,LAMININ
LAMA3,SV2A,LAMININ
LAMA4,SV2A,LAMININ
